dataset;ranking
yelp.csv;WRMF,MostPopular,BPRMF,WeightedBPRMF,SoftMarginRankingMF
movietweetings_recsys2014.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-apps.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-cd.csv;MostPopular,BPRMF,WRMF,WeightedBPRMF,SoftMarginRankingMF
amazon-food.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-tools.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
yahoo-music.csv;WRMF,WeightedBPRMF,MostPopular,BPRMF,SoftMarginRankingMF
amazon-office.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
bookcrossing.csv;MostPopular,BPRMF,WRMF,WeightedBPRMF,SoftMarginRankingMF
amazon-health.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-toys.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-beauty.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-digital-music.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
jester2.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF
amazon-kindle.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-sports.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-phones.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-instruments.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
movielens20m.csv;WRMF,MostPopular,BPRMF,WeightedBPRMF,SoftMarginRankingMF
amazon-garden.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
jester3.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
flixter.csv;WRMF,MostPopular,BPRMF,WeightedBPRMF,SoftMarginRankingMF
movielens10m.csv;WRMF,BPRMF,WeightedBPRMF,MostPopular,SoftMarginRankingMF
jester1.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF
amazon-clothes.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-automotive.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-instant-video.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
movietweetings_latest.csv;WRMF,MostPopular,BPRMF,WeightedBPRMF,SoftMarginRankingMF
amazon-home.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
amazon-movies.csv;WeightedBPRMF,WRMF,MostPopular,BPRMF,SoftMarginRankingMF
amazon-pet-supplies.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF
amazon-baby.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF
yahoo-movies.csv;WRMF,MostPopular,BPRMF,WeightedBPRMF,SoftMarginRankingMF
movielens_latest.csv;WRMF,WeightedBPRMF,MostPopular,BPRMF,SoftMarginRankingMF
movielens100k.csv;WRMF,BPRMF,WeightedBPRMF,SoftMarginRankingMF,MostPopular
movielens1m.csv;WRMF,BPRMF,WeightedBPRMF,SoftMarginRankingMF,MostPopular
tripadvisor.csv;WeightedBPRMF,BPRMF,MostPopular,SoftMarginRankingMF
amazon-games.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF
